effective_date,ticker,book_equity,net_income,sales,operating_cash_flow
2014-03-31,JP1022,4264100706.031231,-41784375.86877146,1.0,-43767783.95961451
2014-03-31,JP1023,12501080287.838306,141677350.50180408,4127386684.821799,39313625.28089927
2014-03-31,JP1024,4486230896.769432,65361352.13744609,1449588848.3191645,128588217.31308347
2014-03-31,JP1025,7872489941.064114,106014694.99859023,4061200743.8042746,210377523.46503103
2014-03-31,JP1026,45493830149.531334,327700148.78061086,13994479591.397604,289625004.27894574
2014-03-31,JP1027,54586903286.37048,691714240.799762,17759693282.062035,607894090.121943
2014-03-31,JP1028,49633407441.970665,745185485.3666344,22805298315.11249,1116104548.1446574
2014-03-31,JP1029,9942424944.611,15961621.27141948,2908865242.714701,14763993.814482063
2014-03-31,JP1030,4740256961.103469,62550098.344394594,939270325.9242897,42687489.46981756
2014-03-31,JP1031,23641572421.816345,220274388.36684462,7219925858.165098,55927273.80286428
2014-03-31,JP1032,11878199884.729797,54794677.57740332,1171914119.2797475,-73485085.35208899
2014-03-31,JP1033,21882469481.824627,613840951.6332921,15533440940.588314,713447465.1300029
2014-03-31,JP1034,74958077083.37508,733296436.4277283,21780142234.00128,1068042979.4801605
2014-03-31,JP1035,39104358149.40875,642356205.237662,24640097751.58975,893652146.9941587
2014-03-31,JP1036,46207052615.88173,1157653141.8092158,27753718355.33557,412052552.71072114
2014-03-31,JP1037,31174567384.192287,692553801.3258382,18672481007.578026,1317978309.2612572
2014-03-31,JP1038,41781198256.43634,-78191498.43191351,20933278248.392086,1029736882.2061671
2014-03-31,JP1039,17504766038.615913,299394754.5445415,3088279613.481151,109984417.62500548
2014-03-31,JP1040,25643026024.636307,305403683.2765698,6547735788.394872,244732812.37966073
2014-03-31,JP1041,33447523375.719074,353720312.1513409,10158070149.187273,-19779507.14262326
2014-03-31,JP1042,39415454026.768295,2708499605.1976457,53595912935.89403,3115322092.925625
2014-03-31,JP1043,15767790960.42123,352417082.97368354,4276724598.727023,301132327.7722544
2014-03-31,JP1044,42692339659.05251,1033966343.4444598,29624000003.06225,1075330604.9337637
2014-03-31,JP1045,32131732176.344967,-50121796.93453705,6592225188.504439,468578968.2015754
2014-03-31,JP1046,43626092443.27503,1134736227.383777,16309046373.66661,423286178.98891133
2014-03-31,JP1047,45320139084.15543,1326412825.147826,29655976704.411404,1336517432.50447
2014-03-31,JP1048,3418899558.008138,76443848.42686589,1275888246.152799,107168878.53760786
2014-03-31,JP1049,17709234464.195816,155255443.0982505,3987573577.5726876,124145498.2922935
2014-03-31,JP1050,4544851870.733251,24118324.491857458,1707543523.6533818,-6573988.173719026
2014-03-31,JP1051,5125280272.753263,56895718.15154238,1491234459.6126301,57091528.09783014
2014-03-31,JP1052,7717411006.936915,281883024.4801115,4795910896.456742,278547842.4737842
2014-03-31,JP1053,46847702595.10161,97593748.11928716,7402688509.255912,-662146220.0628215
2014-03-31,JP1054,16620736436.609901,111739716.96231025,2721725620.556923,143838479.4234604
2014-03-31,JP1055,26026564458.13608,-166329632.43998578,14090308184.017479,828489269.7424716
2014-03-31,JP1056,80010565290.0491,1287249955.242571,61878653370.49739,3679973750.085107
2014-03-31,JP1057,210561519506.58368,1574827530.4249718,47120218784.573746,1572710535.0790286
2014-03-31,JP1058,19564234535.337563,377095552.6275235,10786988853.556269,474431521.9478211
2014-03-31,JP1059,190018493513.42755,2011710421.511186,60287718148.10399,3482929665.0481353
2014-03-31,JP1060,17995994560.324306,292141406.61804914,31265143821.70703,1412869425.2050118
2014-03-31,JP1061,5673499033.664368,94175080.40026443,5214321413.081366,189949569.54401878
2014-03-31,JP1062,14349043446.89422,396255190.00890756,4859718906.507618,121846366.22943613
2014-03-31,JP1063,7375790451.629493,158157214.31520274,3966486233.7399764,228933189.65359896
2014-03-31,JP1064,15877682790.369978,274738232.55192447,6158090338.0807905,293474993.18953377
2014-03-31,JP1065,25736965367.96584,558707792.5160431,15103680155.422155,776443377.0839906
2014-03-31,JP1066,58294347617.85072,545503839.5091432,31919493785.145596,1403860198.7035856
2014-03-31,JP1067,151642673246.15424,4632368370.388682,30393369756.77297,2034779976.4212346
2014-03-31,JP1068,12197144106.495543,34818809.63494,2028102216.2094367,17552160.96857769
2014-03-31,JP1069,45459992435.54647,906333843.2715162,34183992837.044098,1748114540.5338323
2014-03-31,JP1070,5970592907.282561,241502472.96754602,6476929699.43049,274025206.8512478
2014-03-31,JP1071,31525092749.726715,2067996642.1549718,22094381247.60244,560752562.090512
2014-03-31,JP1072,14995939836.451338,61714606.517654955,10340909523.524683,308224614.53202456
2014-03-31,JP1073,5926652506.07442,125697557.76228334,3757272038.874888,126134299.73185366
2014-03-31,JP1074,48618276322.171364,507592866.42048895,15653912762.277113,741716198.4179113
2014-03-31,JP1075,14125234854.106955,198510878.9943401,3176025130.772578,79275747.67235564
2014-03-31,JP1076,10934259644.289608,533104644.26541483,9812752493.989565,522252318.12343687
2014-03-31,JP1077,13364069299.17633,369961304.02908826,2643692946.241659,80251692.8391477
2014-03-31,JP1078,15420080860.79207,93220380.28933898,5709505483.792859,244975536.46150434
2014-03-31,JP1079,30589410963.23195,787456924.0867538,19401079396.129272,1070827763.0433012
2014-03-31,JP1080,24972400540.159294,444849436.98711574,9351220422.099993,835820730.9725032
2014-03-31,JP1081,34803284769.52984,315930412.49653906,28194851847.09864,689782337.6169347
2014-03-31,JP1082,34355049831.456512,563456305.0930098,17272560587.57426,1593080350.0328326
2014-03-31,JP1083,99549507983.19614,2718992063.9795876,52791265667.16319,1631439143.2927942
2014-03-31,JP1084,10995586748.020294,5442346.0455479575,1.0,-38161478.56340061
2014-03-31,JP1085,7722511245.731021,80850784.84844083,2593107451.4572387,91614892.19552805
2014-03-31,JP1086,50100960374.47626,565453205.3835306,19230355567.826984,1380976781.9065602
2014-03-31,JP1087,19314795390.235645,14239536.695092447,4721859441.956081,288136674.49160105
2014-03-31,JP1088,75326142038.82608,1126753321.889262,22944823196.182255,1712643258.8297064
2014-03-31,JP1089,72698678416.7978,146013472.8720904,15302348621.479744,668569678.5885891
2014-03-31,JP1090,28848158048.92741,370879276.3314338,13090664537.222872,704672890.2420309
2014-03-31,JP1091,34326067033.579067,225983509.4849201,6243714561.619232,-183433626.2944409
2014-03-31,JP1092,170767227615.6344,3129204790.8986597,90600631806.68219,7875174127.792252
2014-03-31,JP1093,209709207514.79315,3214669888.7962604,60216839203.31484,460593973.57634914
2014-03-31,JP1094,22659865916.58603,86564762.83968827,9148977790.628765,449708023.9972495
2014-03-31,JP1095,21224911541.94663,504241781.52603567,22886784634.70475,1524625943.214893
2014-03-31,JP1096,43041327161.12302,449033018.6336306,50585676635.19285,2534845099.5742493
2014-03-31,JP1097,6741915526.635983,110252265.56874496,7592895121.633685,366412428.0315142
2014-03-31,JP1098,56684391774.91303,125134178.75458378,15277432672.758842,928209461.1832598
2014-03-31,JP1099,9042350047.57208,445116243.31700516,5666617183.430132,368346938.06459254
2014-03-31,JP1100,35830650562.9155,925035758.4307051,16642359468.218117,-231172213.5381294
2014-03-31,JP1101,12754942949.270063,180456131.31858003,4813769048.797277,267907102.68425548
2014-03-31,JP1102,6391669905.893091,133717974.81265947,2820926365.568437,19628542.020204794
2014-03-31,JP1103,3978373323.4963913,36121911.115255535,615085746.3934633,53273673.70767556
2014-03-31,JP1104,10159176303.104965,190723069.86631107,3534505991.505755,91183104.32389489
2014-03-31,JP1105,22821189470.858826,173848326.87451175,6066676813.11102,530013799.76216686
2014-03-31,JP1106,14355132531.641294,921518000.6436639,19299399060.915825,992765499.3784641
2014-03-31,JP1107,218303180082.85956,8303496492.779594,210842271952.80133,10882537198.965483
2014-03-31,JP1108,83170233687.91264,1163032107.9079232,30953545687.480835,2161669290.0805254
2014-03-31,JP1109,4729447781.8824835,234526642.7298916,4227293539.8686385,412715616.38035524
2014-03-31,JP1110,37765168120.9169,-69708238.8722821,5556402715.473624,18130309.420806617
2014-03-31,JP1111,15651365032.714533,-312182306.01858956,5579346120.942934,319992063.1607067
2014-03-31,JP1112,15018878341.472889,771393604.6080205,10746980682.067736,754402427.0081587
2014-03-31,JP1113,19519747062.10489,998242009.6357301,21387842356.63548,1387563328.9115307
2014-03-31,JP1114,51738563108.77878,702868520.8958926,16043771764.905706,488840578.43927735
2014-03-31,JP1115,15083381475.230776,526820280.9231933,5014625029.248418,289624899.35564846
2014-03-31,JP1116,117916819059.54411,732109971.1150787,1676892945.71804,-2008553879.883674
2014-03-31,JP1117,10346227493.115253,-76661659.10305023,4430058873.17644,181078107.75170833
2014-03-31,JP1118,59792031590.43343,-67004480.31230011,4250654585.4197106,318573628.1196954
2014-03-31,JP1119,281667548931.7836,1806572269.89604,107591473519.78606,13089668307.898216
2014-06-30,JP1000,35800053252.71216,782820959.6517873,4441388796.248212,615007635.4875453
2014-06-30,JP1001,35511173203.46893,1230019643.4820123,20259940342.05681,1831509843.6675828
2014-06-30,JP1002,131602703041.44911,1361039709.5007417,43751723422.03504,1209241635.865642
2014-06-30,JP1003,12808829084.879824,226249586.4555018,6702581504.826359,449637390.4997809
2014-06-30,JP1004,22773838426.97817,490883584.44903266,21232898907.855797,859972416.6828363
2014-06-30,JP1005,88773769824.81998,1493676192.1520944,61557528475.40364,4397422214.613785
2014-06-30,JP1006,14301819689.721666,652110751.8134972,10352283383.594479,352576028.8581884
2014-06-30,JP1007,15973577724.728348,154904216.2118933,3263954444.053507,262837591.11993992
2014-06-30,JP1008,26025173432.140175,265338066.13358626,9661173433.387808,21420064.96486691
2014-06-30,JP1009,43045869414.334274,1298447365.7679107,17139260296.040567,-168966628.6046165
2014-06-30,JP1010,24689368607.584583,763928574.5971559,9841138794.737612,257803593.5505573
2014-06-30,JP1011,137577223841.16315,-1210462369.6375685,27585502877.9885,258397486.22060296
2014-06-30,JP1012,92858034442.71269,1327816720.1264465,41805498815.57118,1864206259.3890605
2014-06-30,JP1013,120327736878.3581,1337497779.8558366,28614500012.560753,1392795791.878616
2014-06-30,JP1014,60040042651.62577,1209686612.4448726,5970215289.843891,288267116.33349925
2014-06-30,JP1015,231289794072.29926,3392914187.5108294,70166463640.86958,4044086189.446432
2014-06-30,JP1016,24343198837.947998,37686111.54011266,11453238215.686476,270707702.73931473
2014-06-30,JP1017,1627438018.3249981,81037157.56452419,2254832586.7392864,118175793.84435073
2014-06-30,JP1018,243171335670.47006,1807403910.460688,121232955047.53275,9263991509.640167
2014-06-30,JP1019,14398839187.065647,845643719.767622,19007777198.55364,950656748.6147856
2014-06-30,JP1020,21135911228.51874,632165063.4096938,14257530609.870111,519380057.3539314
2014-06-30,JP1021,60588256281.53844,975947777.8886123,19141800847.186623,1437654309.9487557
2014-06-30,JP1022,16869999450.604836,65274925.81238937,339386388.6492577,-12413203.33834333
2014-06-30,JP1023,5023849362.736279,33742645.54369565,4887964359.651625,127257761.51316871
2014-06-30,JP1024,4444816621.595027,42066395.13252552,1441023825.45875,-2442189.4439653526
2014-06-30,JP1025,11303622078.524092,35762085.45122705,4271456749.750372,104035831.71634382
2014-06-30,JP1026,62915577660.80291,356632155.9146033,14603189629.103846,909616885.0436752
2014-06-30,JP1027,51921408825.611145,525043883.59016603,21083127941.50641,1196450622.3917766
2014-06-30,JP1028,38218175953.26231,835052351.2621034,21417085193.347485,756778452.3980726
2014-06-30,JP1029,9308389279.51137,136763907.58677477,3330123092.282698,161025887.21631187
2014-06-30,JP1030,5927824749.270785,57307064.93171643,1287719979.7326758,76222628.12856957
2014-06-30,JP1031,24783549060.37452,603151116.1420305,7451004626.0191555,467854789.78041863
2014-06-30,JP1032,12905297119.545746,58596989.33525742,1126239486.6149888,147717909.09752268
2014-06-30,JP1033,64901760203.20753,311888888.3042035,15094888053.02706,452262977.7711029
2014-06-30,JP1034,62047249101.78674,1695919079.8669248,22917665900.67979,831813716.8850315
2014-06-30,JP1035,31034692524.605976,670496107.6964052,22326717163.509007,1367812343.1955144
2014-06-30,JP1036,112418393145.71074,719025027.2273751,22817296346.61271,1760623114.4876018
2014-06-30,JP1037,22850172523.62335,1318484764.0385602,23256506630.592793,864488613.5253942
2014-06-30,JP1038,30442672826.301807,789320154.3620794,14389069207.990276,426435039.02888787
2014-06-30,JP1039,13974807631.834372,-84189823.7326018,2723590247.710914,-113647676.32561895
2014-06-30,JP1040,26086406801.825783,334236138.5265041,6115502473.819544,365228831.6077803
2014-06-30,JP1041,43543667101.1197,764684141.1788312,12851918351.155401,629775171.0497755
2014-06-30,JP1042,74811827130.33533,2960543798.249264,63934993302.46132,2085360024.7250807
2014-06-30,JP1043,24472567816.304913,282127893.5977337,6911040437.142602,49214063.58358612
2014-06-30,JP1044,33626260061.86832,1065188357.8423501,24867005655.229614,385767122.6581602
2014-06-30,JP1045,24729001310.51427,-224156720.99445724,4633275251.121538,510720842.0117894
2014-06-30,JP1046,54384286474.646805,261546709.0510186,15745736702.972965,755525943.9094071
2014-06-30,JP1047,109681146763.31494,854489232.8067796,32692229132.63649,2555931206.8833485
2014-06-30,JP1048,4625232806.274431,83985595.18366349,1381068947.6675692,66972843.70098556
2014-06-30,JP1049,4698815262.219009,28625667.570376184,3361841505.407443,132674070.03551379
2014-06-30,JP1050,6504267037.111167,14478609.922478197,1960930160.9463725,104812599.08979538
2014-06-30,JP1051,4489899223.474574,-21631400.898007575,1401081733.2450025,73349284.79556605
2014-06-30,JP1052,8991831034.15092,236277696.49880537,5715588303.079306,190347846.24640355
2014-06-30,JP1053,42606124962.31114,148949138.0685383,14259034653.40208,23040449.275522307
2014-06-30,JP1054,16894739480.973522,133741147.23212612,5512184179.532287,85335182.59822826
2014-06-30,JP1055,26317573082.807755,743268185.948077,12465190929.251188,508072995.41578674
2014-06-30,JP1056,65055597930.39392,1950140704.2573547,62882522931.43128,2963263030.4542737
2014-06-30,JP1057,178400441023.67953,501167808.6850359,43224216634.03123,4289726422.905958
2014-06-30,JP1058,16579060039.938751,147922872.17571145,11683010755.13436,507652780.95341694
2014-06-30,JP1059,177739220195.7341,1743389285.8321989,53841343657.08441,2319500592.6594768
2014-06-30,JP1060,11924287846.773281,746011618.8254431,22044513982.64646,1565722462.3501165
2014-06-30,JP1061,8738202957.221432,-63336931.59100197,4703863192.951657,476839945.7814458
2014-06-30,JP1062,20644310055.215874,56590644.59776872,6240104083.407904,133018095.86149246
2014-06-30,JP1063,5053551045.490101,117596859.42692482,3902266494.7981377,71258862.53677283
2014-06-30,JP1064,11574549574.115656,222904649.69249293,6198119282.668052,339595610.4860927
2014-06-30,JP1065,16685445303.494467,589561403.3879048,11952536471.984554,886810225.0425109
2014-06-30,JP1066,35957097436.748566,345631924.3455609,31661190834.400322,2400230655.0317225
2014-06-30,JP1067,139229728641.85388,1638880585.0176134,31162835393.917454,-379533296.2666152
2014-06-30,JP1068,8607378560.403885,-58108882.07475356,810148299.3218446,74476663.70177457
2014-06-30,JP1069,29496757730.006145,1311508954.9685261,29865104054.47933,1648549398.1848536
2014-06-30,JP1070,5430400841.316332,410964714.07333773,7776347924.360909,475588729.62706846
2014-06-30,JP1071,21375423256.593807,542273289.4551309,14014052933.989325,540103308.0360725
2014-06-30,JP1072,14304760160.532043,98529154.08032908,6586720154.064474,42837607.789396025
2014-06-30,JP1073,2791304012.9311023,67897695.68567811,3257048632.014276,78428212.29111804
2014-06-30,JP1074,52563473706.06277,1693321235.008502,13852467882.574049,854664694.0516387
2014-06-30,JP1075,21395012113.959576,207018801.66959602,2789436137.2872167,125093676.30438371
2014-06-30,JP1076,9986756588.612906,775345336.3964608,8671560815.02355,277305271.8099301
2014-06-30,JP1077,7571554057.633712,-29020325.370707132,4076097166.88694,374231913.4633978
2014-06-30,JP1078,14526418714.564072,23064643.38985417,4431158333.0578,230117503.61972106
2014-06-30,JP1079,34448047852.964775,298283416.65456307,17797727396.3938,927207375.294082
2014-06-30,JP1080,29985620598.708855,342727068.71583676,10900666976.542692,707974747.0058668
2014-06-30,JP1081,31795952369.30072,1404339449.802455,30809341085.952454,793498138.7745329
2014-06-30,JP1082,29691758984.014896,394206047.9330116,20040369965.99415,1373250912.086455
2014-06-30,JP1083,93197792955.76129,3038458620.238384,58402775468.70082,2783089057.345586
2014-06-30,JP1084,17426442126.770332,64668769.17742441,850974857.1196879,280635344.61119735
2014-06-30,JP1085,8098868252.096293,76756011.33272506,2643496639.995222,176136182.3298882
2014-06-30,JP1086,93371494454.76828,625834313.0303266,28007218400.92039,-656863928.4170574
2014-06-30,JP1087,18834565539.312267,92191056.44070446,3230272009.5382733,601807413.8744228
2014-06-30,JP1088,84615212094.64835,283363173.5913055,20042229453.727974,-640500470.804795
2014-06-30,JP1089,37537737136.23109,860307733.7481911,13655342218.51369,324953915.3292005
2014-06-30,JP1090,38416712599.15491,783844350.6046728,14457889016.213522,539850351.3162086
2014-06-30,JP1091,30220234093.655483,-121304019.77284928,4482771424.18065,-123145534.58142295
2014-06-30,JP1092,133688280905.51994,886227372.5845953,68385565489.68665,4071266182.3691564
2014-06-30,JP1093,206386998825.48022,5630787936.913086,63993861432.885376,3626356944.2967706
2014-06-30,JP1094,18955706971.767483,311367540.4580484,13342978518.712915,774462359.6663831
2014-06-30,JP1095,22700736038.458755,710367591.8105686,21960285502.037945,567513330.5219189
2014-06-30,JP1096,38404017732.9761,976565017.9712636,37422950234.62961,2222608200.462817
2014-06-30,JP1097,11080323136.258928,193556690.27759156,8521561171.170347,268264270.72085208
2014-06-30,JP1098,34386729034.98863,221358539.54610488,14493192687.85152,376436691.0789096
2014-06-30,JP1099,24226201501.501297,180152855.15815923,7188583508.654248,13107972.625468412
2014-06-30,JP1100,37020980713.366844,879091244.8543078,16616628404.220022,1592652656.7970736
2014-06-30,JP1101,29607742954.0666,182218214.28132305,6342594096.217096,356452845.39216703
2014-06-30,JP1102,3787343222.568742,148525728.71039343,2663074366.901202,128713033.70467727
2014-06-30,JP1103,5982299818.255436,91670228.22153708,940592509.6245078,31236492.590176288
2014-06-30,JP1104,8233363144.426563,198841354.2648491,3538900483.4586864,164061643.98395798
2014-06-30,JP1105,15183938354.046812,317660559.9522596,6647449535.445744,106551654.62727089
2014-06-30,JP1106,12809070313.921396,568436403.773864,20543469714.80004,1148847667.0313356
2014-06-30,JP1107,194451657127.71274,7303782155.495794,174529046613.53476,7800158265.991956
2014-06-30,JP1108,137413275616.13107,1248772459.5284948,21496313470.11094,1156872347.2335415
2014-06-30,JP1109,10031785712.962685,132731961.49358037,3792428200.97784,163078559.76988304
2014-06-30,JP1110,37713449932.88909,56372182.09716697,4930210703.251677,-287083723.9009314
2014-06-30,JP1111,12935313645.28918,132953647.3723992,4899579034.333705,127654961.61765149
2014-06-30,JP1112,16495793313.268732,384965770.2425112,11836440210.919691,470491358.6338693
2014-06-30,JP1113,21539944557.66688,621893002.01151,23276345696.750416,1158224810.782003
2014-06-30,JP1114,58969557744.12341,754915262.7187039,15449384190.178251,542964539.556129
2014-06-30,JP1115,17635982863.9126,407343920.33256835,5721585581.015366,143244953.9966948
2014-06-30,JP1116,92655967155.03178,161161387.1548633,1.0,-181242951.1927058
2014-06-30,JP1117,9615593283.99934,-82590315.51829982,3971065630.115895,164124630.40796664
2014-06-30,JP1118,47812295285.81376,586941153.6765217,5020780956.99752,32092544.6452444
2014-06-30,JP1119,202436024308.0552,2518784983.4822726,137174435625.94875,4062760488.619244
2014-09-30,JP1000,21716085553.260937,2579351.494995093,3703860062.25096,480068974.1407446
2014-09-30,JP1001,38069910264.41316,779313200.0399278,22101370550.179596,1195562578.245536
2014-09-30,JP1002,142231407967.84195,724777368.15425,42149739192.71152,2636131046.6926694
2014-09-30,JP1003,7678819051.114243,226781262.27992478,6278468569.686583,289136054.6666881
2014-09-30,JP1004,11281404077.341112,583707778.6720178,18055256069.22676,635725277.7142104
2014-09-30,JP1005,95326261716.77913,5284397412.209706,69038506449.99066,5831399593.674866
2014-09-30,JP1006,14896717517.391562,633414787.3103322,11098648831.475557,536375872.2280153
2014-09-30,JP1007,11270783850.55153,-9605308.56917892,2764889613.1417923,218670260.73315
2014-09-30,JP1008,38837935969.74316,263225931.7506087,12131346431.313967,922156658.9388503
2014-09-30,JP1009,62537920148.89075,56836923.896963045,14350942736.978813,901548834.3702986
2014-09-30,JP1010,58029434365.16763,679602268.5119666,9009724918.177223,391930782.1411332
2014-09-30,JP1011,112559973614.02089,141881780.3518175,27576398703.60338,-864766500.7302011
2014-09-30,JP1012,44909365631.85656,775869332.5600469,38899524672.699844,2141597961.547124
2014-09-30,JP1013,106003298330.7474,1599765046.2084837,20327708952.483253,1899624277.3916934
2014-09-30,JP1014,54802835095.6143,530659445.44917184,4510870978.636215,268713230.7075233
2014-09-30,JP1015,231862226421.78305,5442337396.39777,49490508952.00993,2997316321.0843287
2014-09-30,JP1016,18255815039.50092,474871510.3955421,11608430230.391556,757814517.1178731
2014-09-30,JP1017,2622230228.9658856,129884476.17908809,2874944065.2925553,50100048.717692845
2014-09-30,JP1018,205181271425.7531,5250647669.623239,108279243666.39323,3606621175.1573443
2014-09-30,JP1019,22097760263.043877,467491581.9729869,18188439973.280006,865803314.7440655
2014-09-30,JP1020,34787886802.89366,373928610.65137404,15475237209.79974,779987735.4806272
2014-09-30,JP1021,111649833614.54068,3300727311.394283,19470431084.357918,1460741252.3058114
2014-09-30,JP1022,5467491614.94719,38028634.65939527,1.0,-37725606.24576597
2014-09-30,JP1023,7335861805.705425,146968875.7548884,4663091095.2608185,246873872.60491225
2014-09-30,JP1024,4647830571.036672,-25968417.8682947,1750902404.824879,61324649.920425795
2014-09-30,JP1025,17318601539.280453,67396767.25663121,4202483563.862792,227200307.94075698
2014-09-30,JP1026,70728645716.35963,497314922.6208405,13485064695.096733,219752557.91414753
2014-09-30,JP1027,85062364417.19516,172559647.2415729,18597191955.099125,1171690145.1929657
2014-09-30,JP1028,33276058950.29115,1661508567.427217,31807052500.26772,1816253578.2333772
2014-09-30,JP1029,9084331009.537703,99518535.24462691,2910112196.0067844,137059821.87182206
2014-09-30,JP1030,5345650808.215307,59935717.43606647,1478406805.488654,106966465.35808012
2014-09-30,JP1031,28953436782.778084,485466678.47256196,6935376154.497838,147846250.34015143
2014-09-30,JP1032,17560165798.207623,-42217481.679557405,2398516160.7329183,-137330478.92725268
2014-09-30,JP1033,27602005088.143692,798900343.35143,18164705645.527424,241558075.6659974
2014-09-30,JP1034,92454749241.4808,582467092.2942966,27733709826.822342,2119508725.640804
2014-09-30,JP1035,55892742673.61844,1141499012.53178,27659757374.126358,942697346.8273509
2014-09-30,JP1036,41767229224.27974,490583074.0634747,25768333132.528202,-124732327.37244108
2014-09-30,JP1037,23954976564.47039,589626466.7506888,23215616879.708096,1129119418.8347473
2014-09-30,JP1038,31754273790.451763,832467145.4450977,19022820506.344784,360537831.6551556
2014-09-30,JP1039,15400969061.661167,-232147446.704171,2198644622.7516294,10070296.753105242
2014-09-30,JP1040,34015991114.423954,-55984169.33948541,5954385631.204222,-49026272.206254855
2014-09-30,JP1041,50242731928.15203,535584831.01434374,12939415148.860054,512339449.79714984
2014-09-30,JP1042,31864169268.128216,1527131693.2437267,50572566407.09953,2202564346.310681
2014-09-30,JP1043,19877727408.744972,408001993.8827653,5869351987.2392025,34370596.396027386
2014-09-30,JP1044,51661779268.72159,1176661188.4681308,24168445628.961205,1543444680.6190314
2014-09-30,JP1045,27948946877.308453,-170394938.32753304,7873709548.066145,354114408.71577686
2014-09-30,JP1046,33708148744.056034,580705065.4097222,15790897861.740566,931551866.7915262
2014-09-30,JP1047,73819964782.32275,1362515572.1270373,37599235233.03996,849059859.0975118
2014-09-30,JP1048,3468429663.8957043,-28566067.685023703,1528449560.5623448,21585668.800863363
2014-09-30,JP1049,8305682655.934681,144259491.35369727,3703560584.555032,59262959.93428645
2014-09-30,JP1050,7466116235.818624,181504033.43317634,2775991898.6170897,159974509.5001915
2014-09-30,JP1051,3680933681.8725305,23103098.8043288,1560037851.7848976,62061617.28533629
2014-09-30,JP1052,11202845597.656818,81597425.3446493,5681621328.575763,277169621.3140972
2014-09-30,JP1053,72750499535.40108,775173994.9839389,13458624339.385439,-435227317.10247576
2014-09-30,JP1054,24995845846.825237,582452669.9044985,4255821413.7630286,-118168814.9954516
2014-09-30,JP1055,20809497525.649277,677940582.3369653,17415055623.057144,303009221.52556664
2014-09-30,JP1056,68771750682.17017,2311569062.799666,63198337845.47704,2527387857.772238
2014-09-30,JP1057,145084451559.35266,2858910347.304819,68414582655.4074,2640549950.98861
2014-09-30,JP1058,24290878083.589993,276576949.927996,11412127113.891157,864204374.7560151
2014-09-30,JP1059,169446739618.70197,2431885854.0479503,63812426348.99334,1349063672.961217
2014-09-30,JP1060,15264132585.457563,853517468.4005153,21568500653.652836,1291340543.1958323
2014-09-30,JP1061,9714523277.761295,78176336.65091187,5690786306.832291,273538780.7711572
2014-09-30,JP1062,23149440577.929058,270811611.881295,6766345034.61441,330528225.9012131
2014-09-30,JP1063,7361985414.226072,104889190.98738551,4309801756.781386,174300609.18381813
2014-09-30,JP1064,22510404249.319622,366386537.0495395,6526625182.418461,322909991.8560168
2014-09-30,JP1065,27530052377.313248,312851586.3250751,15911241948.150763,775403554.7921773
2014-09-30,JP1066,58958277453.75333,1331006704.6841927,33506785585.92026,937864719.5432254
2014-09-30,JP1067,112327124162.07117,3087991947.883401,38168345761.76083,602722589.397299
2014-09-30,JP1068,9479190614.753056,21831984.660477217,1283178099.4512608,79647419.45492038
2014-09-30,JP1069,81116698942.82082,1385460813.3854733,37429568342.00343,904059518.9076172
2014-09-30,JP1070,6774220603.548165,490928977.4225354,9738498684.298077,-79529748.13091354
2014-09-30,JP1071,38932724759.21218,1601578724.783576,15372420311.865093,1633526398.196225
2014-09-30,JP1072,9886614059.156937,581357623.9243563,10171754072.462458,-199970671.14612988
